"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6587946.5,83784
4,5,9,0,0,5895752.5,6860
4,10,14,12,8,5200496,4752
4,15,19,8,6,4631923.5,7188
4,20,24,13,9,4072960,9150
4,25,29,26,21,3348016,8122
4,30,34,50,26,2576735,7023
4,35,39,76,44,1976412,6639
4,40,44,102,64,1613110,7211
4,45,49,119,82,1324159.5,8426
4,50,54,129,96,1038712.5,9715
4,55,59,130,101,781336,10933
4,60,64,116,92,575593,12390
4,65,69,92,72,410757.5,13887
4,70,74,68,50,274530,14985
4,75,79,42,29,166809.5,14619
4,80,84,19,12,74652.5,10604
4,85,999,9,5,28940,6908
8,0,4,0,0,148287,293
8,5,9,0,0,172627.5,35
8,10,14,0,0,166069.5,42
8,15,19,0,0,176824,71
8,20,24,0,0,208455.5,90
8,25,29,0,0,238788.5,118
8,30,34,1,0,226264.5,153
8,35,39,0,0,184629.5,205
8,40,44,2,0,156123,248
8,45,49,3,1,157854.5,394
8,50,54,5,2,175771,653
8,55,59,11,5,183880,1014
8,60,64,11,6,185940.5,1560
8,65,69,11,7,152983.5,2023
8,70,74,11,8,114180,2845
8,75,79,12,6,79696.5,3560
8,80,84,11,5,58955.5,4619
8,85,999,19,4,40277.5,6704
12,0,4,0,0,4862517,20524
12,5,9,0,0,4941797.5,1378
12,10,14,3,0,4221454.5,1232
12,15,19,2,0,3281901,1492
12,20,24,0,0,2846322,1590
12,25,29,4,2,3286152.5,2110
12,30,34,6,2,3617857,2656
12,35,39,19,6,3714473.5,3680
12,40,44,24,8,3368926.5,4688
12,45,49,20,6,2766843.5,5789
12,50,54,37,12,2355453,7470
12,55,59,34,15,1923705,10419
12,60,64,51,19,1476317,14693
12,65,69,42,18,1146838.5,20982
12,70,74,43,18,786213.5,25730
12,75,79,23,16,439422,25884
12,80,84,22,15,276146.5,27946
12,85,999,13,9,165049,31013
24,0,4,0,0,6087495.5,89117
24,5,9,0,0,5326462.5,7059
24,10,14,51,16,4535524.5,4519
24,15,19,0,0,3693554.5,5792
24,20,24,22,8,2992351.5,6650
24,25,29,18,8,2575397.5,6746
24,30,34,3,1,2266054,7240
24,35,39,10,4,1912316.5,7906
24,40,44,23,10,1545472,8487
24,45,49,41,22,1241958,9266
24,50,54,93,47,1017352,10796
24,55,59,133,76,822040,12352
24,60,64,54,34,630770.5,14318
24,65,69,69,44,433740,14980
24,70,74,30,23,270670,14773
24,75,79,8,7,165925,14112
24,80,84,21,14,80781.5,10628
24,85,999,1,2,37163.5,8159
31,0,4,0,0,688108,2394
31,5,9,0,0,822180,283
31,10,14,4,0,836794.5,244
31,15,19,1,0,703787,405
31,20,24,1,0,654105,648
31,25,29,5,1,843679,769
31,30,34,8,0,967531.5,938
31,35,39,12,3,866568,1188
31,40,44,9,4,729543,1497
31,45,49,7,3,609274.5,2205
31,50,54,8,4,619689,3716
31,55,59,11,4,618078,5963
31,60,64,27,8,561089,8553
31,65,69,35,15,355458,8504
31,70,74,26,14,209302,7982
31,75,79,18,10,81966,4865
31,80,84,18,13,79834.5,7778
31,85,999,19,13,48317,7940
32,0,4,0,0,2947672,5439
32,5,9,0,0,3710859,737
32,10,14,0,1,3672106,948
32,15,19,2,0,3489288,2179
32,20,24,4,1,3476402,3158
32,25,29,9,2,3517290,3674
32,30,34,13,4,3399523,4101
32,35,39,24,7,3214392,4789
32,40,44,52,12,3153271,6917
32,45,49,82,25,2830371.5,8792
32,50,54,106,40,2396847,12448
32,55,59,138,58,2153956.5,17783
32,60,64,168,78,1981502.5,26875
32,65,69,174,87,1731398,37583
32,70,74,154,82,1415320.5,48188
32,75,79,123,64,1047637,55207
32,80,84,91,57,676678.5,58710
32,85,999,96,66,593389.5,101946
36,0,4,0,0,1523962,1370
36,5,9,0,0,1613876.5,106
36,10,14,0,0,1640053,8
36,15,19,2,0,1537176.5,8
36,20,24,6,0,1637502.5,8
36,25,29,18,0,1858854.5,9
36,30,34,22,2,1941399,10
36,35,39,45,3,1908182.5,10
36,40,44,83,3,1720349,28
36,45,49,140,9,1637765.5,1152
36,50,54,219,25,1660551,3236
36,55,59,309,38,1547392,9317
36,60,64,381,57,1500094,19781
36,65,69,387,57,1315491.5,12241
36,70,74,377,56,1155308,19576
36,75,79,308,57,877684.5,22542
36,80,84,211,51,567841,29628
36,85,999,222,71,557501.5,85705
40,0,4,0,0,432137.5,317
40,5,9,0,0,441266.5,36
40,10,14,0,0,427028.5,33
40,15,19,0,0,439894,135
40,20,24,0,0,488185.5,198
40,25,29,1,0,588769,249
40,30,34,4,0,630688,384
40,35,39,9,1,620081,476
40,40,44,19,4,596560,628
40,45,49,32,11,589350,1049
40,50,54,57,23,682142.5,1860
40,55,59,83,34,712128,3155
40,60,64,91,35,622569.5,4597
40,65,69,83,31,493921.5,6276
40,70,74,77,31,418525.5,9109
40,75,79,65,28,332743,10823
40,80,84,63,28,309708,15891
40,85,999,48,23,238979,41378
44,0,4,0,0,21884.5,56
44,5,9,0,0,24843.5,5
44,10,14,0,0,27815.5,5
44,15,19,0,0,27943.5,26
44,20,24,0,0,29338.5,50
44,25,29,0,0,33365.5,62
44,30,34,0,0,32163.5,79
