"ISOcode","AgeStart","AgeEnd","Ni","Mi"
4,0,4,6262390.5,82333
4,5,9,5487694,6667
4,10,14,4978537,4821
4,15,19,4461340.5,9606
4,20,24,3760628,14310
4,25,29,2978129.5,11973
4,30,34,2257658,9325
4,35,39,1781754.5,8222
4,40,44,1493048.5,8393
4,45,49,1207970,8975
4,50,54,939972,9685
4,55,59,713488.5,10690
4,60,64,533714,12005
4,65,69,380974.5,13272
4,70,74,275289.5,15301
4,75,79,156394.5,13942
4,80,84,72297.5,10317
4,85,999,28217.5,6724
8,0,4,150467,292
8,5,9,162111.5,15
8,10,14,168847.5,20
8,15,19,202065.5,40
8,20,24,231327.5,65
8,25,29,237097.5,82
8,30,34,196992,92
8,35,39,169912,106
8,40,44,161557,138
8,45,49,174928.5,258
8,50,54,190549.5,519
8,55,59,204554,1019
8,60,64,182317,1652
8,65,69,144393.5,2236
8,70,74,111047,2954
8,75,79,90489,4189
8,80,84,58949,4553
8,85,999,36278.5,6182
12,0,4,4922012,23228
12,5,9,4468744,1650
12,10,14,3622676.5,1212
12,15,19,2929658.5,1482
12,20,24,3052729,1988
12,25,29,3493493.5,2341
12,30,34,3672284.5,2990
12,35,39,3499502,4300
12,40,44,2949387.5,5246
12,45,49,2496963,6110
12,50,54,2103416.5,7532
12,55,59,1668415.5,8837
12,60,64,1325671,12268
12,65,69,1014080,15808
12,70,74,629281,18250
12,75,79,427314,21781
12,80,84,271314.5,24301
12,85,999,158425.5,28302
16,0,4,4459.5,8
16,5,9,4683,0
16,10,14,4529,0
16,15,19,4043,2
16,20,24,3994,5
16,25,29,4254.5,5
16,30,34,2643,5
16,35,39,2592.5,5
16,40,44,2842.5,8
16,45,49,2938,14
16,50,54,2920.5,20
16,55,59,2606.5,30
16,60,64,1925.5,36
16,65,69,1342.5,43
16,70,74,816.5,42
16,75,79,413,35
16,80,84,219.5,31
16,85,999,97.5,25
20,0,4,2583,3
20,5,9,3774,0
20,10,14,4080.5,0
20,15,19,4088,0
20,20,24,4236.5,0
20,25,29,4594,0
20,30,34,4994.5,0
20,35,39,6132.5,3
20,40,44,6988.5,5
20,45,49,7087.5,8
20,50,54,6753.5,12
20,55,59,5945,19
20,60,64,4517.5,24
20,65,69,3340,33
20,70,74,2716.5,48
20,75,79,1883.5,57
20,80,84,1227,71
20,85,999,1401,191
24,0,4,5712179.5,93413
24,5,9,4904969,8577
24,10,14,4079659,5123
24,15,19,3297663,6141
24,20,24,2759096.5,7401
24,25,29,2416565,7869
24,30,34,2081006,8308
24,35,39,1695596.5,8645
24,40,44,1353768,8860
24,45,49,1082978.5,9234
24,50,54,896188.5,10485
24,55,59,714541.5,11465
24,60,64,525949.5,12496
24,65,69,354510.5,12640
24,70,74,230842.5,12897
24,75,79,143063,12369
24,80,84,73415,9703
24,85,999,31596.5,6908
28,0,4,5297.5,7
28,5,9,6008.5,0
28,10,14,6552.5,0
28,15,19,6754.5,2
28,20,24,7293.5,5
28,25,29,7254.5,5
28,30,34,7142,5
28,35,39,6704.5,5
28,40,44,6515.5,10
28,45,49,6746,14
28,50,54,6843,25
28,55,59,5804.5,39
28,60,64,4514.5,54
28,65,69,3302.5,62
28,70,74,2250,62
28,75,79,1430.5,62
28,80,84,904.5,65
28,85,999,798,118
31,0,4,797745,3032
31,5,9,913553.5,218
31,10,14,786890.5,253
31,15,19,653138.5,413
31,20,24,750195.5,753
31,25,29,915381.5,1008
31,30,34,934202.5,1281
31,35,39,806597,1489
31,40,44,665818,1731
31,45,49,625955.5,2335
31,50,54,647836.5,3710
31,55,59,629464.5,5785
31,60,64,467344,6832
31,65,69,278263,6312
31,70,74,141579.5,5823
31,75,79,95083.5,6978
31,80,84,83876.5,9661
31,85,999,39828,8255
32,0,4,3539430,7623
32,5,9,3650252.5,472
32,10,14,3522191,557
32,15,19,3477146.5,1288
32,20,24,3511087,2049
32,25,29,3484733.5,2531
32,30,34,3281324.5,2891
32,35,39,3190806.5,3917
32,40,44,3036421,5858
32,45,49,2600145.5,8181
32,50,54,2268193,11662
32,55,59,2090510.5,16352
32,60,64,1902530.5,23049
32,65,69,1640462.5,31698
32,70,74,1331680,42502
32,75,79,957006.5,46391
32,80,84,633819,46143
32,85,999,627780,86874
36,0,4,1568711,1087
36,5,9,1614330,116
36,10,14,1553285.5,142
36,15,19,1493456.5,476
36,20,24,1744187.5,888
36,25,29,1910822,1024
36,30,34,1898185,1142
36,35,39,1783918.5,1501
36,40,44,1603335,2021
36,45,49,1676567,3210
36,50,54,1539995.5,4018
36,55,59,1541599,6262
36,60,64,1388888,8625
36,65,69,1225297,11280
36,70,74,1057444,15713
36,75,79,734887.5,18906
36,80,84,506147,23827
36,85,999,516114,66736
40,0,4,435518,318
40,5,9,422776.5,31
40,10,14,422640.5,41
40,15,19,438432.5,116
40,20,24,524263.5,184
40,25,29,602563,239
40,30,34,605419.5,320
40,35,39,605157.5,396
40,40,44,565547,566
40,45,49,632516.5,1091
40,50,54,713500.5,1866
40,55,59,676179,3017
40,60,64,554443,4092
40,65,69,448211.5,5517
40,70,74,389531,7462
40,75,79,385056.5,11433
40,80,84,232150,12064
40,85,999,226033.5,34756
44,0,4,24025.5,111
44,5,9,26984,43
44,10,14,32932,33
44,15,19,33501.5,36
44,20,24,34388,53
44,25,29,33973.5,73
44,30,34,29781,86
44,35,39,29494.5,115
44,40,44,29290.5,142
44,45,49,29973,186
44,50,54,26566.5,233
44,55,59,23928,287
44,60,64,17484.5,282
44,65,69,11739,295
44,70,74,8322,269
44,75,79,5922,299
44,80,84,3584.5,278
44,85,999,2667,385
48,0,4,105256.5,143
48,5,9,102991.5,10
48,10,14,91610,9
48,15,19,79427.5,18
48,20,24,104950.5,30
48,25,29,170123,50
48,30,34,210320,73
48,35,39,179912,90
48,40,44,134453,110
48,45,49,100554,149
48,50,54,76982,205
48,55,59,56664,263
48,60,64,36893,294
48,65,69,20406,280
48,70,74,10514,255
48,75,79,6499,287
48,80,84,4166,328
48,85,999,2466.5,415
50,0,4,14628789.5,93137
50,5,9,14790539,6552
